"projectRcn","projectID","projectAcronym","role","id","name","shortName","activityType","endOfParticipation","ecContribution","country","street","city","postCode","organizationUrl","vatNumber","contactForm","contactType","contactTitle","contactFirstNames","contactLastNames","contactFunction","contactTelephoneNumber","contactFaxNumber"
67894,"HPRN-CT-2002-00284","SMART SYSTEMS","participant",,"UNIVERSIDADE DE SANTIAGO DE COMPOSTELA",,,,,"ES","Campus Universitario Sur","SANTIAGO DE COMPOSTELA",15782,,,,,,,,,,
67894,"HPRN-CT-2002-00284","SMART SYSTEMS","participant",,"INSTITUT NATIONAL DE RECHERCHE EN INFORMATIQUE ET EN AUTOMATIQUE - INRIA",,,,,"FR",,"LE CHESNAY",78153,,,,,,,,,,
67894,"HPRN-CT-2002-00284","SMART SYSTEMS","participant",,"INSTITUTO SUPERIOR TECNICO",,,,,"PT","Avenida Rovisco Pais 1","LISBOA","1049-001",,,,,,,,,,
67894,"HPRN-CT-2002-00284","SMART SYSTEMS","participant",,"ARISTOTLE UNIVERSITY OF THESSALONIKI",,,,,"EL","University Campus"," Egnatia Street"," Administration","THESSALONIKI",54006,,,,,,,,
67894,"HPRN-CT-2002-00284","SMART SYSTEMS","participant",,"NATIONAL RESEARCH COUNCIL OF ITALY",,,,,"IT","Via Ferrata 1","PAVIA",27100,,,,,,,,,,
67894,"HPRN-CT-2002-00284","SMART SYSTEMS","participant",,"INSTITUTE OF FUNDAMENTAL TECHNOLOGICAL RESEARCH - POLISH ACADEMY OF SCIENCES",,,,,"PL",21,"SWIETOKRZYSKA 21","WARSZAWA",49,,,,,,,,,
67894,"HPRN-CT-2002-00284","SMART SYSTEMS","participant",,"UNIVERSIDAD COMPLUTENSE DE MADRID",,,,,"ES","Ciudad Universitaria","MADRID",28040,,,,,,,,,,
67894,"HPRN-CT-2002-00284","SMART SYSTEMS","participant",,"NATIONAL RESEARCH COUNCIL OF ITALY",,,,,"IT","Viale del Policlinico 137","ROMA",161,,,,,,,,,,
67894,"HPRN-CT-2002-00284","SMART SYSTEMS","coordinator",,"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE PARIS",,,,,"FR","Boulevard Blaise Pascal",2,"NOISY-LE-GRAND",93162,,,,,,,,,
67894,"HPRN-CT-2002-00284","SMART SYSTEMS","participant",,"FORSCHUNGSVERBUND BERLIN E.V.",,,,,"DE","Mohrenstrasse",39,"BERLIN",10117,,,,,,,,,
61178,"HPRI-CT-1999-50007","ARMS","participant",,"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE",,,,,"FR","Complexe scientifique de Rangueil","TOULOUSE",31077,,,,,,,,,,
