indic_se,l_serv,nace_r2,sex,sizeclas,unit,time\geo	BE 	BG 	CZ 	DK 	DE 	EE 	IE 	ES 	FR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	NL 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	UK 	IS 	NO 	CH 	AL 	RS 
ERN,TOTAL,B,F,GE10,EUR,2018	18.76 	4.18 	6.93 	41.03 	21.48 	6.64 	24.15 	17.63 	16.67 	22.3 	: c	6.35 	6.08 	: c	4.76 	: c	25.85 	18.19 	6.56 	8.34 	7.2 	11.46 	5.45 	20.54 	23.22 	28.33 	: 	47.82 	29.98 	2.45 	: c
ERN,TOTAL,B,F,GE10,NAC,2018	18.76 	8.17 	177.61 	305.79 	21.48 	6.64 	24.15 	17.63 	16.67 	22.3 	: c	6.35 	6.08 	: c	1517.15 	: c	25.85 	18.19 	27.96 	8.34 	33.5 	11.46 	5.45 	20.54 	238.24 	25.06 	: 	458.93 	34.63 	313.17 	: c
ERN,TOTAL,B,F,GE10,PPS,2018	16.34 	8.03 	9.43 	28.99 	20.11 	8 	18.2 	18.42 	14.67 	21.54 	: c	8.3 	8.95 	: c	7.38 	: c	22.38 	16.25 	11.02 	9.36 	13.31 	13.15 	6.83 	16.31 	18.79 	23.58 	: 	31.66 	19.22 	4.54 	: c
ERN,TOTAL,B,F,TOTAL,EUR,2018	: 	4.15 	6.93 	: 	20.9 	6.59 	: 	16.77 	: 	: 	: 	6.54 	5.73 	: 	4.55 	: 	25.39 	: 	6.54 	: 	: 	11.34 	5.47 	: 	: 	29.52 	: 	47.62 	30.51 	: 	: 
ERN,TOTAL,B,F,TOTAL,NAC,2018	: 	8.12 	177.61 	: 	20.9 	6.59 	: 	16.77 	: 	: 	: 	6.54 	5.73 	: 	1452.07 	: 	25.39 	: 	27.86 	: 	: 	11.34 	5.47 	: 	: 	26.12 	: 	457.04 	35.24 	: 	: 
ERN,TOTAL,B,F,TOTAL,PPS,2018	: 	7.98 	9.43 	: 	19.56 	7.95 	: 	17.52 	: 	: 	: 	8.55 	8.44 	: 	7.06 	: 	21.98 	: 	10.98 	: 	: 	13.01 	6.86 	: 	: 	24.58 	: 	31.53 	19.56 	: 	: 
ERN,TOTAL,B,M,GE10,EUR,2018	18.19 	4.76 	8.09 	49.68 	23.11 	9.43 	: c	15.19 	20.12 	22.76 	: c	7.22 	6.53 	: c	5.72 	: c	30.59 	19.76 	8.2 	8.1 	6.99 	13.42 	6.94 	23.88 	25.36 	28.64 	: 	51.12 	33.86 	3.77 	: c
ERN,TOTAL,B,M,GE10,NAC,2018	18.19 	9.3 	207.5 	370.25 	23.11 	9.43 	: c	15.19 	20.12 	22.76 	: c	7.22 	6.53 	: c	1824.35 	: c	30.59 	19.76 	34.94 	8.1 	32.55 	13.42 	6.94 	23.88 	260.14 	25.33 	: 	490.62 	39.1 	480.82 	: c
ERN,TOTAL,B,M,GE10,PPS,2018	15.85 	9.14 	11.02 	35.09 	21.63 	11.36 	: c	15.87 	17.71 	21.99 	: c	9.43 	9.62 	: c	8.88 	: c	26.49 	17.65 	13.77 	9.09 	12.93 	15.4 	8.7 	18.96 	20.52 	23.84 	: 	33.85 	21.7 	6.97 	: c
ERN,TOTAL,B,M,TOTAL,EUR,2018	: 	4.7 	8.09 	: 	22.67 	9.34 	: 	14.45 	: 	: 	: 	7 	6.39 	: 	5.26 	: 	30.6 	: 	8.18 	: 	: 	13.28 	6.92 	: 	: 	28.5 	: 	50.88 	33.99 	: 	: 
ERN,TOTAL,B,M,TOTAL,NAC,2018	: 	9.19 	207.5 	: 	22.67 	9.34 	: 	14.45 	: 	: 	: 	7 	6.39 	: 	1678.36 	: 	30.6 	: 	34.84 	: 	: 	13.28 	6.92 	: 	: 	25.21 	: 	488.34 	39.26 	: 	: 
ERN,TOTAL,B,M,TOTAL,PPS,2018	: 	9.04 	11.02 	: 	21.22 	11.26 	: 	15.1 	: 	: 	: 	9.14 	9.4 	: 	8.17 	: 	26.5 	: 	13.73 	: 	: 	15.23 	8.69 	: 	: 	23.73 	: 	33.69 	21.79 	: 	: 
ERN,TOTAL,B,T,GE10,EUR,2018	18.67 	4.65 	7.95 	47.94 	22.89 	9.02 	: c	15.59 	19.57 	22.67 	: c	7.01 	6.46 	: c	5.59 	: c	29.88 	19.57 	8.03 	8.12 	7.03 	13.17 	6.7 	23.35 	24.92 	28.58 	: 	50.47 	33.33 	3.63 	4.48 
ERN,TOTAL,B,T,GE10,NAC,2018	18.67 	9.1 	203.91 	357.31 	22.89 	9.02 	: c	15.59 	19.57 	22.67 	: c	7.01 	6.46 	: c	1782.6 	: c	29.88 	19.57 	34.22 	8.12 	32.71 	13.17 	6.7 	23.35 	255.64 	25.28 	: 	484.39 	38.5 	463.6 	529.42 
ERN,TOTAL,B,T,GE10,PPS,2018	16.27 	8.95 	10.83 	33.87 	21.43 	10.87 	: c	16.28 	17.22 	21.91 	: c	9.17 	9.51 	: c	8.67 	: c	25.87 	17.47 	13.49 	9.11 	12.99 	15.11 	8.41 	18.53 	20.16 	23.79 	: 	33.42 	21.37 	6.72 	8.04 
ERN,TOTAL,B,T,TOTAL,EUR,2018	: 	4.61 	7.95 	: 	22.43 	8.93 	24.43 	14.81 	: 	: 	: 	6.89 	6.27 	: 	5.15 	: 	29.8 	: 	8.01 	: 	: 	13.02 	6.69 	: 	: 	28.69 	: 	50.24 	33.54 	: 	: 
ERN,TOTAL,B,T,TOTAL,NAC,2018	: 	9.01 	203.91 	: 	22.43 	8.93 	24.43 	14.81 	: 	: 	: 	6.89 	6.27 	: 	1642.84 	: 	29.8 	: 	34.12 	: 	: 	13.02 	6.69 	: 	: 	25.39 	: 	482.2 	38.74 	: 	: 
ERN,TOTAL,B,T,TOTAL,PPS,2018	: 	8.85 	10.83 	: 	21 	10.77 	18.41 	15.47 	: 	: 	: 	9.01 	9.23 	: 	7.99 	: 	25.8 	: 	13.45 	: 	: 	14.94 	8.4 	: 	: 	23.89 	: 	33.27 	21.5 	: 	: 
ERN,TOTAL,B-E,F,GE10,EUR,2018	19.97 	2.57 	6.01 	31.22 	19.05 	5.99 	22.21 	11.22 	17.23 	13.25 	7.22 	5.14 	4.63 	20.51 	4.62 	9.44 	17.26 	15.91 	5.04 	5.6 	3.84 	8.48 	5.75 	20.4 	21.28 	17.47 	24.54 	32.27 	30.27 	1.54 	2.89 
ERN,TOTAL,B-E,F,GE10,NAC,2018	19.97 	5.02 	154.21 	232.71 	19.05 	5.99 	22.21 	11.22 	17.23 	13.25 	7.22 	5.14 	4.63 	20.51 	1472.83 	9.44 	17.26 	15.91 	21.47 	5.6 	17.86 	8.48 	5.75 	20.4 	218.28 	15.45 	3137.87 	309.73 	34.96 	195.92 	341.97 
ERN,TOTAL,B-E,F,GE10,PPS,2018	17.39 	4.94 	8.19 	22.06 	17.83 	7.22 	16.74 	11.72 	15.16 	12.81 	8.03 	6.72 	6.81 	15.84 	7.17 	11.09 	14.94 	14.21 	8.46 	6.28 	7.09 	9.72 	7.21 	16.19 	17.22 	14.54 	15.11 	21.37 	19.4 	2.84 	5.2 
ERN,TOTAL,B-E,F,TOTAL,EUR,2018	: 	2.51 	5.91 	: 	18.51 	5.91 	21.87 	10.78 	: 	: 	7.27 	5.09 	4.58 	: 	4.59 	: 	16.96 	: 	5.03 	: 	: 	8.35 	5.73 	: 	: 	17.28 	: 	31.95 	30.05 	: 	: 
ERN,TOTAL,B-E,F,TOTAL,NAC,2018	: 	4.91 	151.65 	: 	18.51 	5.91 	21.87 	10.78 	: 	: 	7.27 	5.09 	4.58 	: 	1465.2 	: 	16.96 	: 	21.43 	: 	: 	8.35 	5.73 	: 	: 	15.29 	: 	306.68 	34.7 	: 	: 
ERN,TOTAL,B-E,F,TOTAL,PPS,2018	: 	4.82 	8.05 	: 	17.33 	7.12 	16.48 	11.26 	: 	: 	8.09 	6.66 	6.74 	: 	7.13 	: 	14.68 	: 	8.44 	: 	: 	9.58 	7.18 	: 	: 	14.39 	: 	21.16 	19.26 	: 	: 
ERN,TOTAL,B-E,M,GE10,EUR,2018	22.37 	3.42 	7.79 	34.97 	24.6 	8.31 	24.68 	13.42 	19.88 	15.53 	9.9 	6.36 	6.06 	22.8 	5.93 	12.25 	21.37 	20.2 	6.23 	7.25 	4.94 	9.92 	7.56 	22.28 	22.22 	20.53 	29.04 	35.62 	37.16 	2.36 	3.69 
ERN,TOTAL,B-E,M,GE10,NAC,2018	22.37 	6.69 	199.92 	260.61 	24.6 	8.31 	24.68 	13.42 	19.88 	15.53 	9.9 	6.36 	6.06 	22.8 	1889.99 	12.25 	21.37 	20.2 	26.54 	7.25 	23 	9.92 	7.56 	22.28 	227.97 	18.16 	3713.8 	341.88 	42.92 	301.33 	436.7 
ERN,TOTAL,B-E,M,GE10,PPS,2018	19.49 	6.58 	10.62 	24.7 	23.02 	10.01 	18.6 	14.02 	17.5 	15.01 	11.01 	8.31 	8.91 	17.61 	9.2 	14.39 	18.51 	18.04 	10.46 	8.14 	9.13 	11.38 	9.49 	17.69 	17.98 	17.09 	17.89 	23.59 	23.82 	4.37 	6.63 
ERN,TOTAL,B-E,M,TOTAL,EUR,2018	: 	3.32 	7.6 	: 	24.23 	8.06 	24.08 	12.96 	: 	: 	9.45 	6.24 	5.87 	: 	5.85 	: 	21.16 	: 	6.21 	: 	: 	9.64 	7.51 	: 	: 	20.28 	: 	35.32 	36.87 	: 	: 
ERN,TOTAL,B-E,M,TOTAL,NAC,2018	: 	6.49 	194.86 	: 	24.23 	8.06 	24.08 	12.96 	: 	: 	9.45 	6.24 	5.87 	: 	1864.4 	: 	21.16 	: 	26.48 	: 	: 	9.64 	7.51 	: 	: 	17.94 	: 	338.97 	42.59 	: 	: 
ERN,TOTAL,B-E,M,TOTAL,PPS,2018	: 	6.37 	10.35 	: 	22.68 	9.71 	18.15 	13.54 	: 	: 	10.51 	8.16 	8.65 	: 	9.07 	: 	18.32 	: 	10.44 	: 	: 	11.06 	9.42 	: 	: 	16.88 	: 	23.38 	23.64 	: 	: 
ERN,TOTAL,B-E,T,GE10,EUR,2018	21.57 	3.03 	7.17 	33.85 	23.2 	7.35 	23.98 	12.86 	19.13 	14.95 	8.86 	5.9 	5.44 	22.41 	5.47 	11.46 	20.48 	19.17 	5.86 	6.58 	4.45 	9.46 	6.92 	21.81 	22 	19.82 	27.7 	34.89 	35.14 	1.92 	3.39 
ERN,TOTAL,B-E,T,GE10,NAC,2018	21.57 	5.93 	183.93 	252.31 	23.2 	7.35 	23.98 	12.86 	19.13 	14.95 	8.86 	5.9 	5.44 	22.41 	1743.42 	11.46 	20.48 	19.17 	24.97 	6.58 	20.71 	9.46 	6.92 	21.81 	225.66 	17.54 	3542.38 	334.88 	40.58 	244.32 	400.71 
ERN,TOTAL,B-E,T,GE10,PPS,2018	18.79 	5.83 	9.77 	23.92 	21.72 	8.86 	18.07 	13.43 	16.84 	14.45 	9.85 	7.71 	8.01 	17.31 	8.48 	13.45 	17.73 	17.12 	9.84 	7.39 	8.22 	10.86 	8.68 	17.31 	17.8 	16.5 	17.06 	23.1 	22.53 	3.54 	6.09 
ERN,TOTAL,B-E,T,TOTAL,EUR,2018	: 	2.95 	7.01 	: 	22.75 	7.18 	23.46 	12.39 	: 	: 	8.7 	5.81 	5.32 	: 	5.41 	: 	20.22 	: 	5.84 	: 	: 	9.24 	6.88 	: 	: 	19.58 	: 	34.58 	34.85 	: 	: 
ERN,TOTAL,B-E,T,TOTAL,NAC,2018	: 	5.76 	179.8 	: 	22.75 	7.18 	23.46 	12.39 	: 	: 	8.7 	5.81 	5.32 	: 	1725.24 	: 	20.22 	: 	24.91 	: 	: 	9.24 	6.88 	: 	: 	17.32 	: 	331.92 	40.25 	: 	: 
ERN,TOTAL,B-E,T,TOTAL,PPS,2018	: 	5.67 	9.55 	: 	21.29 	8.65 	17.68 	12.94 	: 	: 	9.68 	7.6 	7.83 	: 	8.39 	: 	17.51 	: 	9.82 	: 	: 	10.6 	8.63 	: 	: 	16.3 	: 	22.9 	22.34 	: 	: 
ERN,TOTAL,B-F,F,GE10,EUR,2018	18.86 	2.6 	6.03 	30.95 	18.76 	6.03 	21.89 	11.29 	17.42 	13.23 	7.67 	5.28 	4.68 	20.24 	4.63 	9.41 	17.45 	15.89 	5.1 	5.65 	3.87 	8.54 	5.73 	20.28 	21.26 	17.68 	24.7 	32.26 	30.42 	1.58 	2.91 
ERN,TOTAL,B-F,F,GE10,NAC,2018	18.86 	5.08 	154.59 	230.68 	18.76 	6.03 	21.89 	11.29 	17.42 	13.23 	7.67 	5.28 	4.68 	20.24 	1475.22 	9.41 	17.45 	15.89 	21.75 	5.65 	18.03 	8.54 	5.73 	20.28 	218.12 	15.64 	3158.86 	309.58 	35.14 	201.8 	343.84 
ERN,TOTAL,B-F,F,GE10,PPS,2018	16.43 	4.99 	8.21 	21.87 	17.57 	7.27 	16.49 	11.79 	15.33 	12.79 	8.53 	6.9 	6.88 	15.63 	7.18 	11.05 	15.11 	14.19 	8.57 	6.35 	7.16 	9.8 	7.19 	16.1 	17.2 	14.72 	15.21 	21.36 	19.5 	2.92 	5.22 
ERN,TOTAL,B-F,F,TOTAL,EUR,2018	: 	2.53 	5.9 	: 	17.94 	5.95 	21.33 	10.79 	: 	: 	7.54 	5.25 	4.62 	: 	4.59 	: 	17.15 	: 	5.09 	: 	: 	8.37 	5.71 	: 	: 	17.39 	: 	32.01 	30.11 	: 	: 
ERN,TOTAL,B-F,F,TOTAL,NAC,2018	: 	4.95 	151.31 	: 	17.94 	5.95 	21.33 	10.79 	: 	: 	7.54 	5.25 	4.62 	: 	1462.36 	: 	17.15 	: 	21.7 	: 	: 	8.37 	5.71 	: 	: 	15.38 	: 	307.19 	34.78 	: 	: 
ERN,TOTAL,B-F,F,TOTAL,PPS,2018	: 	4.86 	8.04 	: 	16.79 	7.17 	16.07 	11.27 	: 	: 	8.39 	6.86 	6.8 	: 	7.11 	: 	14.85 	: 	8.55 	: 	: 	9.6 	7.16 	: 	: 	14.48 	: 	21.19 	19.3 	: 	: 
